Make,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Subaru,Outback,"11,784","12,666","17,053","15,728","13,994","16,394","14,058","14,219","7,082","8,548","10,454","12,643",154623
Tesla,Model,"7,395","7,395","8,320","9,590","9,221","9,590","12,285","11,830","12,285","11,233","11,233","11,233",121610
Tesla,Model,"1,330","1,330","1,496",338,325,338,911,878,911,"1,233","1,233","1,233",11556
Tesla,Model,"1,634","1,634","1,838",371,357,371,34,33,34,333,333,333,7305
Tesla,Model,"10,761","10,761","12,106","14,452","13,896","14,452","15,120","14,560","15,120","13,433","13,433","13,433",161527
Toyota,4Runner,"12,430","11,878","12,955","11,989","11,370","9,327","11,643","13,210","10,673","13,032","11,338","14,851",144696
Toyota,86,209,222,333,172,71,27,7,1,2,-,-,-,1044
Toyota,Avalon,"1,528","1,483","2,125","2,036","1,867",109,"2,314","2,014","1,311","1,172","1,199","1,122",18280
Toyota,C-HR,"2,839","3,049","4,513","5,242","6,004","2,796","3,661","2,411","1,873","1,296","1,082",941,35707
Toyota,Camry,"21,771","23,839","32,541","29,939","37,676","31,905","32,959","27,033","19,106","17,691","19,261","20,074",313795
Toyota,Corolla,"19,266","22,346","30,908","31,222","30,433","21,356",-,"22,143","14,275","8,420","8,906","13,940",223215
Toyota,Corolla,-,-,-,-,-,-,-,-,-,826,"2,877","3,500",7203
Toyota,FJ,-,-,-,-,-,1,-,-,-,-,-,-,1
Toyota,GR86,-,-,-,-,-,-,-,-,-,-,2,107,109
Toyota,Highlander,"16,774","19,064","27,993","27,679","28,834","24,036","24,673","19,410","19,101","18,103","19,191","19,270",264128
Toyota,Land,689,567,640,750,664,240,67,25,23,23,10,13,3711
Toyota,Mirai,85,69,715,354,265,109,152,113,406,306,27,28,2629
Toyota,Prius,"3,007","4,154","6,889","8,352","10,533","5,828","5,736","4,322","2,217","2,142","1,884","3,946",59010
Toyota,RAV4,"31,364","35,813","47,078","40,895","30,018","36,027","41,145","29,681","21,426","24,994","34,689","34,609",407739
Toyota,Sequoia,674,611,752,770,795,736,728,537,508,450,704,805,8070
Toyota,Sienna,"6,944","7,838",-,-,-,-,-,-,-,-,-,-,14782
Toyota,Supra,394,503,828,987,"1,049",787,537,304,436,294,228,483,6830
Toyota,Tacoma,"18,878","20,578","26,993","24,448","23,488","24,911","23,558","19,661","18,086","14,650","17,816","19,423",252490
Toyota,Tundra,"6,334","5,819","6,981","7,512","9,595","7,624","6,444","5,876","8,828","9,750","3,446","3,750",81959
Toyota,Venza,"3,358","3,753","6,512","8,112","9,318","4,781","5,106","5,329","4,224","3,251","2,846","5,128",61718
Toyota,Yaris,47,39,45,32,29,9,1,3,-,-,-,-,205
Volkswagen,Arteon,352,352,396,568,546,568,703,677,703,224,224,224,5537
Volkswagen,Atlas,"6,150","6,150","6,918","8,391","8,069","8,391","4,610","4,439","4,610","4,885","4,885","4,885",72383
Volkswagen,Atlas,"3,617","3,617","4,069","4,905","4,716","4,905","3,125","3,009","3,125","3,072","3,072","3,072",44304
Volkswagen,Golf,505,505,568,"1,245","1,197","1,245",156,150,156,270,270,270,6537
Volkswagen,ID.4,-,-,474,"1,944","1,869","1,944","2,042","1,966","2,042","1,488","1,488","1,488",16745
Volkswagen,Jetta,"7,268","7,268","8,177","6,853","6,589",-,"3,278","3,156","3,278","3,082","3,082","3,082",55113
Volkswagen,Passat,"1,451","1,451","1,633","2,307","2,218","2,307","1,734","1,670","1,734","2,631","2,631","2,631",24398
Volkswagen,Taos,-,-,-,"1,688","1,604","1,668","4,423","4,259","4,423","4,546","4,546","4,546",31703
Volkswagen,Tiguan,"8,725","8,725","9,815","12,793","12,301","12,793","6,698","6,450","6,698","8,248","8,248","8,248",109742
Volvo,60-Series,"1,571","1,594","1,452","1,076",988,690,792,"1,153","1,097","1,029",922,"2,482",14846
Volvo,90-Series,136,253,205,128,136,96,77,85,77,70,85,147,1495
Volvo,C40,-,-,-,-,-,-,-,-,-,-,-,42,42
Volvo,XC40,"1,756","1,886","2,162","2,704","3,486","2,872","2,513","2,640","2,070","1,987","1,244","1,482",26802
Volvo,XC60,"2,196","2,757","2,937","3,610","4,417","4,675","4,505","3,266","3,220","3,032","3,043","3,924",41582
Volvo,XC90,"2,492","2,674","3,168","3,528","4,194","3,925","3,688","3,542","2,886","2,583","2,373","3,604",38657
