Make,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Chevrolet,Malibu,"8,636","8,636","9,715","1,654","1,591","1,654",91,87,91,"2,407","2,407","2,407",39376
Chevrolet,Silverado,"40,509","40,509","45,573","55,623","53,484","55,623","41,535","39,997","41,535","38,459","38,459","38,459",529765
Chevrolet,Sonic,341,341,383,151,145,151,17,17,17,6,6,6,1581
Chevrolet,Spark,"3,682","3,682","4,142","2,618","2,518","2,618","1,265","1,218","1,265",484,484,484,24460
Chevrolet,Suburban,"3,566","40,509","4,011","4,516","4,342","4,516","3,263","3,142","3,263","4,677","4,677","4,677",85159
Chevrolet,Tahoe,"7,369","7,369","8,290","9,423","9,061","9,423","8,168","7,866","8,168","10,294","10,294","10,294",106019
Chevrolet,TrailBlazer,"8,008","8,008","9,009","7,882","7,579","7,882","8,617","8,298","8,617","5,421","5,421","5,421",90163
Chevrolet,Traverse,"12,172","12,172","13,693","15,328","14,738","15,328","3,634","3,499","3,634","7,351","7,351","7,351",116251
Chevrolet,Trax,"5,426","5,426","6,104","6,109","5,874","6,109","2,112","2,034","2,112",428,428,428,42590
Chrysler,200,-,-,-,1,1,1,1,1,1,3,3,3,15
Chrysler,300,"1,726","1,725","1,942","1,914","1,840","1,914","1,205","1,160","1,205",677,677,677,16662
Chrysler,Pacifica,"10,989",-,-,"4,467","4,295","4,467","4,027","3,878","4,027","12,940","12,940","12,940",74970
Chrysler,Town,-,"10,989","12,363",-,-,-,-,-,-,1,1,1,23355
Dodge,Challenger,"4,831","4,831","5,435","5,082","4,887","5,082","4,723","4,548","4,723","3,391","3,391","3,391",54315
Dodge,Charger,"6,317","6,317","7,106","7,551","7,261","7,551","6,546","6,303","6,546","5,630","5,630","5,630",78388
Dodge,Dart,1,-,-,1,-,-,1,1,1,1,2,2,10
Dodge,Durango,"6,579","6,579","7,402","6,029","5,797","6,029","4,899","4,718","4,899","4,335","4,335","4,335",65936
Dodge,Grand,547,547,615,391,376,391,30,29,30,27,27,27,3037
Dodge,Journey,"2,202","2,202","2,477","1,987","1,911","1,987",358,345,358,69,69,69,14034
Dodge,Viper,1,1,1,-,-,-,-,-,-,1,1,1,6
Fiat,124,153,152,173,134,129,134,20,19,20,7,7,7,955
Fiat,500,1,1,1,3,3,3,2,2,2,11,11,11,51
Fiat,500L,22,22,25,28,27,28,8,8,8,4,4,4,188
Fiat,500X,85,85,95,136,131,136,105,101,105,67,67,67,1180
Ford,Bronco,-,-,-,-,-,801,"3,277","2,730","3,396","7,364","8,287","9,168",35023
Ford,Bronco,"8,050","5,526","9,780","13,856","14,947","8,355","2,306","6,698","11,686","9,201","11,486","6,278",108169
Ford,E-Series,"3,036","3,956","3,581","2,549","2,086","2,127","2,468","3,437","3,227","4,078","2,771","3,806",37122
Ford,EcoSport,"4,382","3,596","4,900","4,987","4,919","3,520","4,240","2,153","1,797","1,398","1,775","2,992",40659
Ford,Edge,"6,837","6,495","8,818","8,046","5,077","4,082","3,349","5,509","6,738","9,329","9,489","11,456",85225
Ford,Escape,"11,190","11,853","17,947","15,680","19,951","8,871","4,141","10,696","11,462","13,500","9,420","10,704",145415
Ford,Expedition,"5,109","7,228","9,926","8,880","8,912","7,453","5,457","5,355","5,884","5,648","4,577","7,559",81988
Ford,Explorer,"18,095","20,745","26,404","27,040","16,512","9,445","13,351","8,490","20,092","20,714","18,268","20,715",219871
Ford,F-Series,"55,276","64,478","84,043","66,302","46,260","45,672","52,314","57,321","63,164","68,259","60,418","62,496",726003
Ford,Fusion,"2,677","2,219","2,993","1,838","1,210",516,124,59,42,33,23,47,11781
Ford,GT,7,15,11,13,8,9,19,11,10,12,14,14,143
Ford,Maverick,-,-,-,-,-,-,-,-,506,"4,140","2,582","6,030",13258
Ford,Mustang,"4,324","5,653","7,267","8,000","4,436","2,240","4,124","2,263","2,728","3,076","3,709","4,564",52384
Ford,Mustang,238,"3,739","2,637","1,951","1,945","2,465","2,854","1,448","1,578","2,848","3,088","2,349",27140
Ford,Ranger,"6,102","6,954","11,110","12,801","14,303","7,101","5,960","3,271","5,104","7,218","7,839","6,992",94755
Ford,Transit,"7,498","9,189","10,764","11,445","8,381","4,436","8,984","8,163","9,939","7,862","4,563","8,521",99745
Ford,Transit,"2,015","2,524","3,084","3,207","3,430","2,680","1,712",585,384,"1,438","2,682","2,371",26112
Genesis,G70,532,563,769,801,"1,021","1,103",987,996,947,"1,196","1,122",681,10718
Genesis,G80,649,420,443,434,501,545,586,620,399,527,486,421,6031
Genesis,G90,121,136,158,164,167,116,127,108,169,203,181,171,1821
Genesis,GV70,-,-,-,-,2,576,"1,568","1,525","1,603","1,869","1,604","1,988",10735
Genesis,GV80,"1,521","1,283","1,636","1,895","2,037","1,714","1,912","1,726","1,749","1,505","1,609","1,738",20325
GMC,Acadia,"6,386","6,386","7,184","8,869","8,528","8,869","3,192","3,074","3,192","1,411","1,411","1,411",59913
GMC,Canyon,"2,286","2,286","2,572","1,805","1,736","1,805","1,849","1,781","1,849","2,052","2,052","2,052",24125
GMC,Savana,"20,133","1,871","2,105","1,838","1,768","1,838",748,720,748,"1,413","1,413","1,413",36008
GMC,Sierra,"20,133","20,133","22,650","25,492","24,511","25,492","17,811","17,152","17,811","19,246","19,246","19,246",248923
GMC,Terrain,"5,413","5,413","6,090","5,611","5,395","5,611","3,342","3,218","3,342","1,351","1,351","1,351",47488
GMC,Yukon,"5,907","5,907","6,645","8,056","7,746","8,056","5,882","5,664","5,882","8,166","8,166","8,166",84243
Honda,Accord,"13,330","13,293","19,968","21,035","26,299","20,782","16,531","14,576","12,174","15,386","14,867","14,435",202676
Honda,Civic,"15,475","15,906","24,522","28,414","35,962","32,677","28,318","19,654","15,647","13,399","12,927","20,886",263787
Honda,Clarity,263,420,464,419,330,207,126,117,82,84,42,43,2597
Honda,CR-V,"25,806","30,249","37,711","40,779","42,090","36,564","31,530","27,928","17,483","25,393","20,682","25,056",361271
Honda,Fit,"1,954","1,724","2,387","1,717",729,162,15,5,2,-,-,-,8695
Honda,HR-V,"6,369","8,181","11,625","13,005","15,242","14,019","13,832","10,836","12,289","11,667","10,193","9,832",137090
Honda,Insight,960,"1,217","1,682","1,871","1,980","2,157","2,054","2,370","1,976","1,939",-,479,18685
Honda,Odyssey,"5,336","5,537","9,193","9,022","10,071","8,397","6,831","7,363","5,691","2,704","2,394","3,586",76125
Honda,Passport,"3,010","3,686","4,914","5,239","5,092","4,753","4,594","4,681","6,045","3,719","2,791","4,609",53133
Honda,Pilot,"8,602","10,689","12,160","13,915","16,480","14,714","14,506","11,371","12,230","9,480","7,629","11,286",143062
Honda,Ridgeline,"2,616","3,873","6,081","4,607","4,387","2,806","2,355","1,463","2,684","3,257","3,410","3,816",41355
Hyundai,Accent,"1,036","1,448","1,788","2,711","2,162",959,"1,852","1,067","1,067","2,863","1,071",844,18868
Hyundai,Elantra,"7,242","6,253","12,598","14,358","18,821","14,785","13,103","10,942","10,942","8,447","4,676","5,193",127360
Hyundai,Ioniq,937,"1,258","1,930","1,364","2,174","3,444","1,619","1,060","1,060","1,621","1,347","1,361",19175
Hyundai,Ioniq,-,-,-,-,-,-,-,-,-,-,-,153,153
Hyundai,Kona,"5,233","6,691","10,416","10,267","9,731","8,388","8,576","5,582","5,582","8,440","5,402","5,299",89607
Hyundai,Nexo,23,25,30,18,16,22,53,43,43,63,48,37,421
Hyundai,Palisade,"5,669","6,354","9,184","8,278","8,051","5,965","5,505","7,705","7,705","8,670","6,314","6,882",86282
Hyundai,Santa,-,-,-,-,-,-,81,"1,252","1,252","1,848","2,201","3,000",9634
Hyundai,Santa,"8,714","8,318","11,538","10,470","12,868","11,202","12,766","7,207","7,207","7,040","6,677","8,698",112705
Hyundai,Sonata,"5,020","6,202","9,335","10,216","13,487","9,938",-,"8,277","8,277","5,561","3,607","3,514",83434
Hyundai,Tiburon,-,-,"15,744",-,-,-,-,-,-,-,-,-,15744
Hyundai,Tuscon,"7,980","9,423","15,744","16,901","18,848","14,621",-,"11,151","11,151","9,735","11,325","13,842",140721
Hyundai,Veloster,193,222,272,322,244,108,-,146,146,218,-,71,1942
Hyundai,Venue,"1,347","1,869","2,568",-,"3,615","3,033",-,"1,768","1,768","2,255",-,"2,446",20669
Infiniti,Q50,"1,377","1,377","1,549","1,411","1,357","1,411",979,943,979,837,837,837,13894
Infiniti,Q60,220,220,247,284,273,284,228,220,228,175,175,175,2729
Infiniti,QX50,"2,056","2,056","2,313","2,473","2,378","2,473","1,094","1,054","1,094",735,735,735,19196
Infiniti,QX55,-,-,-,419,403,419,586,564,586,452,452,452,4333
Infiniti,QX60,"1,061","1,061","1,193",335,322,335,23,22,23,485,485,485,5830
Infiniti,QX80,"1,389","1,389","1,563","1,111","1,068","1,111",690,664,690,966,966,966,12573
Jaguar,E-Pace,232,232,261,296,285,296,169,163,169,267,267,267,2904
Jaguar,F-Pace,660,660,743,939,900,936,641,618,641,833,833,833,9237
Jaguar,F-Type,195,195,220,170,163,170,101,98,101,233,233,233,2112
Jaguar,I-Pace,82,82,92,121,116,121,68,65,68,200,200,200,1415
Jaguar,XE,50,50,56,2,2,2,3,3,3,33,33,33,270
Jaguar,XF,73,73,82,120,115,120,68,65,68,133,133,133,1183
Jaguar,XJ,3,3,4,3,3,3,3,3,3,-,-,-,28
Jeep,Cherokee,"12,135","12,135","13,652","9,872","9,492","9,872","3,912","3,767","3,912","3,459","3,459","3,459",89126
Jeep,Compass,"6,387","6,387","7,185","4,793","4,609","4,793","8,058","7,759","8,058","5,871","5,871","5,871",75642
Jeep,Gladiator,"6,023","6,023","6,776","10,117","9,728","10,117","7,652","7,369","7,652","6,085","6,085","6,085",89712
Jeep,Grand,"17,663","17,663","19,871","17,804","17,119","17,804","24,200","23,304","24,200","24,939","24,939","24,939",254445
Jeep,Grand,-,-,-,-,-,-,-,-,90,862,862,862,2676
Jeep,Patriot,-,-,-,1,1,1,1,1,1,3,3,3,15
Jeep,Renegade,"5,119","5,119","5,759","5,165","4,967","5,165","3,599","3,465","3,599","1,727","1,727","1,727",47138
Jeep,Wagoneer,-,-,-,-,-,-,-,-,42,"1,769","1,769","1,769",5349
Jeep,Wrangler,"15,887","15,887","17,873","23,305","22,409","23,305","15,540","14,964","15,540","13,300","13,300","13,300",204610
Kia,Cadenza,55,46,54,25,13,32,8,1,15,-,-,-,249
Kia,Carnival,-,573,"1,467","2,383","3,742",-,-,-,-,-,"1,252","1,113",10530
Kia,Forte,"7,021","7,370","10,459","9,626","13,323","11,482","12,423","9,258","9,186","7,523","6,741","8,639",113051
Kia,K5,"5,443","6,218","8,717",-,"12,459","8,641","9,233","7,263","5,856","7,427","5,938",-,77195
Kia,K900,20,14,22,7,4,3,2,-,11,2,-,-,85
Kia,Niro,"1,262","1,296","1,753","1,990","2,883","2,633","2,648","2,040","2,566","2,727","1,946","2,448",26192
Kia,Optima,16,-,-,-,-,-,-,-,-,-,-,-,16
